Date                      ,asset_1            ,asset_2            ,zscore                ,pred ,asset_1_position ,asset_2_position ,asset_1_change          ,asset_2_change          ,pnl                     ,cumulative_pnl
2019-02-14 00:00:00+00:00 ,1309.800048828125  ,15.5               ,2.1823616123919023    ,   0 ,0                ,0                ,                        ,                        ,                        ,
2019-02-15 00:00:00+00:00 ,1318.0999755859375 ,15.722999572753906 ,1.150229509959125     ,   0 ,0                ,0                ,0.0063367891650625285   ,0.014387069209929493    ,0.0                     ,0.0
2019-02-19 00:00:00+00:00 ,1340.0999755859375 ,15.946999549865723 ,1.4771526864515585    ,   0 ,0                ,0                ,0.016690691455494733    ,0.014246643973709894    ,0.0                     ,0.0
2019-02-20 00:00:00+00:00 ,1343.300048828125  ,16.156999588012695 ,0.0005271228629161696 ,   0 ,0                ,0                ,0.002387936199154339    ,0.01316862382107109     ,0.0                     ,0.0
2019-02-21 00:00:00+00:00 ,1323.5             ,15.791000366210938 ,1.0138704986251244    ,   0 ,0                ,0                ,-0.014739855660243828   ,-0.022652672596049528   ,0.0                     ,0.0
2019-02-22 00:00:00+00:00 ,1329.199951171875  ,15.907999992370605 ,0.535030673891217     ,   0 ,0                ,0                ,0.004306725479316098    ,0.007409259923140787    ,0.0                     ,0.0
2019-02-25 00:00:00+00:00 ,1325.9000244140625 ,15.824999809265137 ,0.8824699887286795    ,   0 ,0                ,0                ,-0.0024826413474535736  ,-0.005217512141392655   ,0.0                     ,0.0
2019-02-26 00:00:00+00:00 ,1325.0999755859375 ,15.82699966430664  ,0.7122245362012798    ,   0 ,0                ,0                ,-0.0006034005682129528  ,0.00012637314790575616  ,0.0                     ,0.0
2019-02-27 00:00:00+00:00 ,1317.699951171875  ,15.67199993133545  ,1.2780380610057516    ,   0 ,0                ,0                ,-0.005584502717080109   ,-0.009793374376619868   ,0.0                     ,0.0
2019-02-28 00:00:00+00:00 ,1312.800048828125  ,15.538000106811523 ,1.8646935284730257    ,   0 ,0                ,0                ,-0.003718526618591955   ,-0.008550269596160454   ,0.0                     ,0.0
2019-03-01 00:00:00+00:00 ,1296.4000244140625 ,15.168999671936035 ,2.884759812900925     ,   0 ,0                ,0                ,-0.012492400825778516   ,-0.023748257970066966   ,0.0                     ,0.0
2019-03-04 00:00:00+00:00 ,1284.800048828125  ,15.017000198364258 ,2.512376156570717     ,   0 ,0                ,0                ,-0.008947836599417225   ,-0.010020401928875322   ,0.0                     ,0.0
2019-03-05 00:00:00+00:00 ,1282.0             ,15.020000457763672 ,1.9920238927692766    ,   0 ,0                ,0                ,-0.0021793654434236753  ,0.00019979086100962995  ,0.0                     ,0.0
